Title,Skill,num,Ordinal
.NET/C# Developer,Communications,529.0,11.0
.NET/C# Developer,Management,475.0,12.0
.NET/C# Developer,Programming,473.0,13.0
.NET/C# Developer,Testing,461.0,14.0
.NET/C# Developer,Agile,440.0,15.0
.NET/C# Developer,jQuery,429.0,16.0
.NET/C# Developer,HTML,405.0,17.0
.NET/C# Developer,Database,388.0,18.0
.NET/C# Developer,Visual Studio,378.0,19.0
Android Developer,Android,2712.0,0.0
Android Developer,Mobile,1947.0,1.0
Android Developer,Java,1715.0,2.0
Android Developer,Software,1373.0,3.0
Android Developer,SDK,1063.0,4.0
Android Developer,Computer Science,999.0,5.0
Android Developer,IT,959.0,6.0
Android Developer,Agile,764.0,7.0
Android Developer,Communications,740.0,8.0
Android Developer,REST,704.0,9.0
Android Developer,UI,682.0,10.0
Android Developer,Programming,663.0,11.0
Android Developer,JSON,649.0,12.0
Android Developer,Testing,640.0,13.0
Android Developer,Management,636.0,14.0
Android Developer,Integration,626.0,15.0
Android Developer,Engineering,606.0,16.0
Android Developer,Git,586.0,17.0
Android Developer,Architecture,576.0,18.0
Android Developer,iOS,524.0,19.0
Application Developer,Software,2142.0,0.0
Application Developer,SQL,1707.0,1.0
Application Developer,Management,1559.0,2.0
Application Developer,IT,1541.0,3.0
Application Developer,Testing,1514.0,4.0
Application Developer,Programming,1494.0,5.0
Application Developer,JavaScript,1407.0,6.0
Application Developer,Java,1286.0,7.0
Application Developer,Communications,1167.0,8.0
Application Developer,Computer Science,1044.0,9.0
Application Developer,Integration,1037.0,10.0
Application Developer,Database,1009.0,11.0
Application Developer,C#,965.0,12.0
Application Developer,.NET,944.0,13.0
Application Developer,Documentation,924.0,14.0
Application Developer,Implementation,902.0,15.0
Application Developer,Mobile,888.0,16.0
Application Developer,HTML,845.0,17.0
Application Developer,Oracle,834.0,18.0
Application Developer,Agile,803.0,19.0
Applications Architect,Software,674.0,0.0
Applications Architect,Architecture,600.0,1.0
Applications Architect,Management,500.0,2.0
Applications Architect,IT,459.0,3.0
Applications Architect,Integration,406.0,4.0
Applications Architect,Java,360.0,5.0
Applications Architect,Implementation,353.0,6.0
Applications Architect,Security,346.0,7.0
Applications Architect,Communications,345.0,8.0
Applications Architect,Testing,333.0,9.0
Applications Architect,Agile,314.0,10.0
Applications Architect,SQL,306.0,11.0
Applications Architect,Leadership,264.0,12.0
Applications Architect,Programming,264.0,13.0
Applications Architect,Database,262.0,14.0
Applications Architect,Engineering,260.0,15.0
Applications Architect,Infrastructure,247.0,16.0
Applications Architect,Computer Science,245.0,17.0
Applications Architect,Documentation,220.0,18.0
Applications Architect,Oracle,219.0,19.0
Associate Software Engineer,Software,436.0,0.0
Associate Software Engineer,Engineering,261.0,1.0
Associate Software Engineer,Computer Science,215.0,2.0
Associate Software Engineer,Testing,212.0,3.0
Associate Software Engineer,Communications,201.0,4.0
Associate Software Engineer,Management,194.0,5.0
Associate Software Engineer,Java,187.0,6.0
Associate Software Engineer,Programming,186.0,7.0
Associate Software Engineer,IT,185.0,8.0
Associate Software Engineer,Education,162.0,9.0
Associate Software Engineer,SQL,160.0,10.0
Associate Software Engineer,JavaScript,149.0,11.0
Associate Software Engineer,Agile,139.0,12.0
Associate Software Engineer,Documentation,128.0,13.0
Associate Software Engineer,C++,125.0,14.0
Associate Software Engineer,Integration,121.0,15.0
Associate Software Engineer,Database,113.0,16.0
Associate Software Engineer,C#,110.0,17.0
Associate Software Engineer,Security,102.0,18.0
Associate Software Engineer,Mobile,99.0,19.0
Back End Developer,IT,209.0,0.0
Back End Developer,Software,209.0,1.0
Back End Developer,PHP,172.0,2.0
Back End Developer,JavaScript,160.0,3.0
Back End Developer,Integration,144.0,4.0
Back End Developer,Communications,144.0,5.0
Back End Developer,Management,135.0,6.0
Back End Developer,Engineering,126.0,7.0
Back End Developer,MySQL,123.0,8.0
Back End Developer,Ruby,122.0,9.0
Back End Developer,Database,121.0,10.0
Back End Developer,Git,118.0,11.0
Back End Developer,Python,117.0,12.0
Back End Developer,Programming,112.0,13.0
Back End Developer,Testing,111.0,14.0
Back End Developer,Java,111.0,15.0
Back End Developer,Agile,107.0,16.0
Back End Developer,CSS,93.0,17.0
Back End Developer,SQL,93.0,18.0
Back End Developer,Linux,92.0,19.0
Back End Java Developer,Java,343.0,0.0
Back End Java Developer,Software,192.0,1.0
Back End Java Developer,Spring,190.0,2.0
Back End Java Developer,IT,138.0,3.0
Back End Java Developer,SQL,123.0,4.0
Back End Java Developer,Agile,121.0,5.0
Back End Java Developer,REST,120.0,6.0
Back End Java Developer,Testing,110.0,7.0
Back End Java Developer,Hibernate,104.0,8.0
Back End Java Developer,Engineering,101.0,9.0
Back End Java Developer,Management,97.0,10.0
Back End Java Developer,Oracle,96.0,11.0
Back End Java Developer,Integration,93.0,12.0
Back End Java Developer,Communications,88.0,13.0
Back End Java Developer,j2ee,87.0,14.0
Back End Java Developer,Programming,85.0,15.0
Back End Java Developer,Database,81.0,16.0
Back End Java Developer,RESTful,81.0,17.0
Back End Java Developer,Git,75.0,18.0
Back End Java Developer,Computer Science,74.0,19.0
Back End PHP Developer,PHP,107.0,0.0
Back End PHP Developer,MySQL,92.0,1.0
Back End PHP Developer,JavaScript,86.0,2.0
Back End PHP Developer,Software,86.0,3.0
Back End PHP Developer,Integration,76.0,4.0
Back End PHP Developer,Git,63.0,5.0
Back End PHP Developer,MVC,57.0,6.0
Back End PHP Developer,Communications,55.0,7.0
Back End PHP Developer,Linux,50.0,8.0
Back End PHP Developer,Shell,50.0,9.0
Back End PHP Developer,Unix,50.0,10.0
Back End PHP Developer,Programming,46.0,11.0
Back End PHP Developer,Computer Science,44.0,12.0
Back End PHP Developer,CSS,44.0,13.0
Back End PHP Developer,HTML5,43.0,14.0
Back End PHP Developer,Testing,42.0,15.0
Back End PHP Developer,Management,40.0,16.0
Back End PHP Developer,Scripting,39.0,17.0
Back End PHP Developer,Database,37.0,18.0
Back End PHP Developer,Github,37.0,19.0
Back End Software Engineer,Software,275.0,0.0
Back End Software Engineer,Java,171.0,1.0
Back End Software Engineer,Computer Science,149.0,2.0
Back End Software Engineer,Engineering,140.0,3.0
Back End Software Engineer,IT,125.0,4.0
Back End Software Engineer,Python,120.0,5.0
Back End Software Engineer,Programming,99.0,6.0
Back End Software Engineer,SQL,95.0,7.0
Back End Software Engineer,Agile,94.0,8.0
Back End Software Engineer,Testing,93.0,9.0
Back End Software Engineer,Architecture,90.0,10.0
Back End Software Engineer,MySQL,88.0,11.0
Back End Software Engineer,Management,87.0,12.0
Back End Software Engineer,Mobile,80.0,13.0
Back End Software Engineer,Database,80.0,14.0
Back End Software Engineer,NoSQL,80.0,15.0
Back End Software Engineer,cloud,76.0,16.0
Back End Software Engineer,Communications,71.0,17.0
Back End Software Engineer,Infrastructure,66.0,18.0
Back End Software Engineer,Ruby,66.0,19.0
Back End Web Developer,JavaScript,158.0,0.0
Back End Web Developer,Management,135.0,1.0
Back End Web Developer,Programming,131.0,2.0
Back End Web Developer,MySQL,129.0,3.0
Back End Web Developer,CSS,117.0,4.0
Back End Web Developer,SQL,110.0,5.0
Back End Web Developer,HTML,107.0,6.0
Back End Web Developer,Agile,104.0,7.0
Back End Web Developer,PHP,103.0,8.0
Back End Web Developer,Software,98.0,9.0
Back End Web Developer,Node.js,91.0,10.0
Back End Web Developer,Computer Science,91.0,11.0
Back End Web Developer,Database,91.0,12.0
Back End Web Developer,Integration,83.0,13.0
Back End Web Developer,MVC,80.0,14.0
Back End Web Developer,Java,78.0,15.0
Back End Web Developer,OOP,68.0,16.0
Back End Web Developer,Python,63.0,17.0
Back End Web Developer,Implementation,62.0,18.0
Back End Web Developer,jQuery,56.0,19.0
Data Analyst,Management,7758.0,0.0
Data Analyst,Microsoft Excel,6131.0,1.0
Data Analyst,SQL,5969.0,2.0
Data Analyst,Reporting,5793.0,3.0
Data Analyst,Communications,5776.0,4.0
Data Analyst,IT,4814.0,5.0
Data Analyst,Database,4353.0,6.0
Data Analyst,Access,3791.0,7.0
Data Analyst,Analytics,3487.0,8.0
Data Analyst,Software,3421.0,9.0
Data Analyst,Education,3395.0,10.0
Data Analyst,Research,3145.0,11.0
Data Analyst,Operations,3036.0,12.0
Data Analyst,Training,2636.0,13.0
Data Analyst,Documentation,2394.0,14.0
Data Analyst,Statistics,2282.0,15.0
Data Analyst,Problem Solving,2242.0,16.0
Data Analyst,Testing,2170.0,17.0
Data Analyst,Implementation,2141.0,18.0
Data Analyst,Healthcare,2117.0,19.0
Data Architect,Management,382.0,0.0
Data Architect,Architecture,378.0,1.0
Data Architect,Software,369.0,2.0
Data Architect,SQL,333.0,3.0
Data Architect,IT,292.0,4.0
Data Architect,Database,292.0,5.0
Data Architect,Modeling,279.0,6.0
Data Architect,ETL,254.0,7.0
Data Architect,Communications,251.0,8.0
Data Architect,Integration,223.0,9.0
Data Architect,Oracle,210.0,10.0
Data Architect,Reporting,186.0,11.0
Data Architect,Implementation,181.0,12.0
Data Architect,Engineering,169.0,13.0
Data Architect,Intelligence,167.0,14.0
Data Architect,Security,157.0,15.0
Data Architect,Computer Science,154.0,16.0
Data Architect,Analytics,150.0,17.0
Data Architect,Documentation,149.0,18.0
Data Architect,Strategy,145.0,19.0
Data Scientist,R,327.0,0.0
Data Scientist,Statistics,314.0,1.0
Data Scientist,Python,312.0,2.0
Data Scientist,Analytics,284.0,3.0
Data Scientist,Machine Learning,274.0,4.0
Data Scientist,SQL,264.0,5.0
Data Scientist,Research,261.0,6.0
Data Scientist,Management,249.0,7.0
Data Scientist,Software,245.0,8.0
Data Scientist,Programming,220.0,9.0
Data Scientist,Engineering,210.0,10.0
Data Scientist,Modeling,199.0,11.0
Data Scientist,Mathematics,195.0,12.0
Data Scientist,Algorithms,182.0,13.0
Data Scientist,Communications,176.0,14.0
Data Scientist,IT,167.0,15.0
Data Scientist,Visualization,166.0,16.0
Data Scientist,SAS,155.0,17.0
Data Scientist,Operations,136.0,18.0
Data Scientist,Java,122.0,19.0
Database Administrator,Database,7751.0,0.0
Database Administrator,Management,5247.0,1.0
Database Administrator,SQL,5170.0,2.0
Database Administrator,DBA,5069.0,3.0
